advisory_id,ecosystem,package_id,release_id,commit_count,file_count,loc_change,contributor_count,ifcve,severity,fix_to_release_delay
SNYK-JAVA-ORGCODEHAUSPLEXUS-31680,Maven,2292,5012,20,14,882,5,cve,M,0.0
SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174478,NuGet,1950,8481,20,39,912,12,cve,H,0.0
SNYK-JAVA-ORGAPACHEQPID-72605,Maven,2106,4917,16,76,3742,4,cve,M,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORKSECURITY-474641,Maven,2386,5044,34,75,1359,13,cve,M,0.0
SNYK-JS-MQUERY-1050858,npm,307,514,4,2,29,2,cve,H,0.0
SNYK-JS-CHARTJS-1018716,npm,400,110,10,14,37076,8,cve,H,0.0
SNYK-PYTHON-DJANGO-42178,pip,510,1111,11,13,101,9,cve,M,0.0
SNYK-PYTHON-DJANGORESTFRAMEWORKAPIKEY-72560,pip,3561,1153,16,31,605,1,noncve,M,0.0
SNYK-PYTHON-PARAMIKO-42086,pip,1710,1303,19,5,127,1,cve,H,0.0
SNYK-JS-FASTCSV-1049538,npm,234,281,26,3,43,3,cve,M,0.0
SNYK-PHP-USMANHALALITPIXIE-534879,Composer,1521,7792,2,0,0,1,cve,H,0.0
SNYK-PHP-CRAFTCMSCMS-455502,Composer,1711,7816,3,2,89,2,cve,H,0.0
npm:textangular:20150213,npm,2857,763,6,9,443,2,noncve,M,0.0
SNYK-PHP-SIMPLESAMLPHPSIMPLESAMLPHP-451570,Composer,911,7625,35,23,991,7,noncve,M,0.0
SNYK-RUBY-MYSQL2-20283,RubyGems,2867,8254,3,3,11,2,noncve,M,0.0
npm:hoek:20180212,npm,2504,343,3,2,16,2,cve,M,0.0
npm:whereis:20180401,npm,3521,837,3,2,14,2,cve,H,0.0
SNYK-PHP-SABBERWORMPHPCSSPARSER-571300,Composer,802,7602,1,3,41,1,cve,H,0.0
SNYK-JS-MORGAN-72579,npm,2101,510,27,2,483,2,cve,M,0.0
SNYK-JS-SNYKBROKER-570612,npm,812,732,1,0,0,1,cve,M,0.0
SNYK-PYTHON-NOTEBOOK-72620,pip,2103,1274,4,3,71,2,cve,M,-0.0
SNYK-DOTNET-MICROSOFTCHAKRACORE-174388,NuGet,556,8402,11,13,199,7,cve,H,0.0
SNYK-RUBY-LOOFAH-72548,RubyGems,2127,5565,5,3,83,1,cve,M,0.0
SNYK-JS-REDOC-574605,npm,741,644,2,1,2,1,noncve,M,0.0
SNYK-JAVA-ORGAPACHETOMCATEMBED-451510,Maven,677,4517,40,44,1380,7,cve,M,0.0
SNYK-PHP-SIMPLESAMLPHPSIMPLESAMLPHP-567174,Composer,911,7627,7,4,19,5,cve,L,0.0
SNYK-JAVA-ORGMONGODB-1079241,Maven,7,4155,12,22,412,3,cve,M,0.0
SNYK-JAVA-ORGAPACHEHTTPCOMPONENTS-31517,Maven,2573,5077,43,331,3303,3,noncve,M,0.0
SNYK-JS-PROPERTYEXPR-598800,npm,545,612,2,3,78,1,cve,H,0.0
SNYK-GOLANG-GITHUBCOMGOAAHAAH-559113,Go,1238,8789,2,12,88,2,noncve,H,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORK-31325,Maven,3172,5274,39,59,1780,5,cve,M,0.0
SNYK-PHP-ZFRZFROAUTH2SERVERMODULE-70368,Composer,3209,8109,20,5,369,1,noncve,M,0.0
SNYK-RUBY-WEBSOCKETEXTENSIONS-570830,RubyGems,843,5492,6,4,64,1,cve,H,0.0
SNYK-PHP-TYPO3FLUIDFLUID-1041631,Composer,262,7307,5,16,1089,2,cve,H,0.0
SNYK-PYTHON-DJANGO-559326,pip,510,1122,7,8,193,3,cve,H,0.0
SNYK-GOLANG-GITHUBCOMHASHICORPCONSULAGENTSTRUCTS-1021890,Go,380,8664,86,560,219991,33,cve,M,0.0
SNYK-JS-GOOGLEAPIS-451632,npm,1642,315,4,237,26784,2,noncve,M,0.0
npm:hapi:20170331,npm,3074,336,6,4,79,2,cve,M,0.0
SNYK-JS-ECSTATIC-540354,npm,1327,199,5,1,17,2,cve,H,0.0
SNYK-JS-FTPSRV-1071861,npm,71,299,19,8,103,6,cve,H,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORKINTEGRATION-73517,Maven,2068,4904,15,44,1483,4,cve,H,0.0
SNYK-PYTHON-PETL-1045869,pip,293,1315,7,2,435,1,cve,M,0.0
SNYK-PYTHON-DJANGO-40403,pip,510,1092,24,16,155,15,cve,M,0.0
npm:aerospike:20161101,npm,2956,48,8,9,235,1,cve,H,0.0
SNYK-JS-NODERULES-560426,npm,3722,545,6,2,89,2,cve,H,0.0
SNYK-JAVA-IORATPACK-473841,Maven,1299,4735,11,13,360,3,cve,H,0.0
SNYK-RUBY-PUMA-570205,RubyGems,839,5488,2,2,14,1,cve,M,0.0
npm:libp2p-secio:20180115,npm,2551,444,11,13,646,2,noncve,H,0.0
SNYK-JS-JSYAML-173999,npm,1970,399,4,5,57,2,noncve,M,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORK-30164,Maven,2164,4928,80,164,4625,9,cve,M,0.0
